Watchlist 'IndustryAnalsysis'

IndustryAnalsysis
Symbol,%Change,% 9EMA,% 20SMA,RSI
VIXY,+13.51%,15.98,23.09,72.1
USO,+12.94%,18.9,31.14,89.3
UNG,+5.81%,5.55,5.85,54.3
WEAT,+5.64%,5.99,9.12,72.4
GSG,+5.30%,8.78,14.9,86.5
UGA,+4.18%,11.15,19.66,86.4
YOLO,+3.81%,1.86,2.03,50.9
DBC,+3.73%,6.09,10.65,81.3
SHLD,+2.99%,1.8,3.8,58.6
DRNZ,+2.97%,3.36,7.47,58.8
JEDI,+2.68%,1.55,2.9,53.3
SLV,+2.25%,-1.15,0.94,49.1
CORN,+1.81%,3.04,4.67,75.0
SOYB,+1.73%,2.2,3.56,77.3
DBB,+1.72%,1.02,1.68,55.3
GLD,+1.58%,0.2,1.16,54.6
IAU,+1.53%,0.19,1.16,54.6
DBA,+1.14%,1.88,2.8,76.8
KWEB,+1.05%,-2.91,-7.52,23.0
NATO,+0.97%,-0.87,-0.42,50.7
ITA,+0.90%,-0.37,0.86,54.2
WCLD,+0.83%,4.7,7.06,55.7
EWY,+0.79%,-6.25,-6.56,45.3
PPA,+0.70%,-0.15,0.96,55.0
FXI,+0.67%,-2.44,-5.73,28.2
ALLW,+0.61%,-0.26,0.09,53.7
FXC,+0.59%,0.48,0.46,60.6
FCG,+0.55%,2.93,6.58,73.0
SEA,+0.48%,-0.76,0.82,58.4
CTA,+0.47%,0.76,2.28,64.7
XLP,+0.43%,-1.79,-2.68,45.5
CLOU,+0.40%,2.65,3.57,52.3
HACK,+0.40%,2.79,3.22,56.0
IGV,+0.40%,3.97,6.38,54.4
CIBR,+0.32%,2.09,1.44,50.0
MOO,+0.32%,-1.69,-2.93,45.6
FXB,+0.24%,-0.29,-0.97,40.2
XOP,+0.19%,3.87,8.16,75.7
TIP,+0.19%,0.04,0.15,58.0
XAR,+0.19%,-0.94,0.24,51.2
FXA,+0.17%,-0.48,-0.71,50.6
XLE,+0.16%,1.02,2.74,69.7
SCHP,+0.15%,0.02,0.12,57.8
CPER,+0.14%,-0.92,-1.16,47.2
XBI,+0.08%,-1.13,-1.32,46.3
CLOD,+0.06%,2.69,3.47,50.9
SHY,+0.05%,-0.14,-0.25,40.1
BIL,+0.02%,-0.03,-0.06,42.9
TFLO,+0.02%,-0.03,-0.07,44.3
FXE,0.00%,-0.69,-1.5,34.2
FM,0.00%,0.08,-0.43,41.7
UUP,-0.04%,0.57,1.39,65.5
IEF,-0.06%,-0.48,-0.52,44.5
SPAM,-0.07%,1.39,1.16,50.3
MBB,-0.08%,-0.49,-0.63,40.7
AMLP,-0.11%,0.63,1.87,70.4
AGG,-0.12%,-0.46,-0.59,40.4
SPLV,-0.16%,-0.55,0.07,56.7
USMV,-0.17%,-0.23,0.24,54.7
FXY,-0.19%,-0.65,-1.52,38.3
EWZ,-0.22%,-3.36,-5.15,42.3
LIT,-0.25%,-3.94,-5.42,40.3
SKYY,-0.29%,1.37,1.25,48.0
IGF,-0.30%,-1.31,-1.3,50.9
CDX,-0.30%,-0.64,-1.07,35.2
LQD,-0.33%,-0.68,-0.93,34.9
XLU,-0.34%,-0.36,1.25,60.6
PGX,-0.35%,-0.64,-0.94,39.4
TLT,-0.37%,-0.89,-0.89,45.2
GDXJ,-0.39%,-4.4,-3.28,47.4
GDX,-0.43%,-4.62,-4.19,46.0
BKLN,-0.44%,-0.13,-0.69,37.7
GLIN,-0.45%,-2.01,-4.07,35.8
EWU,-0.48%,-2.39,-3.07,41.6
REZ,-0.48%,-0.7,-0.35,54.1
HYG,-0.49%,-0.78,-1.22,27.6
JNK,-0.49%,-0.84,-1.34,26.9
AAXJ,-0.52%,-3.61,-5.29,37.5
REAL,-0.53%,-3.29,-3.58,39.1
EEM,-0.54%,-3.86,-5.8,36.8
ARKX,-0.54%,-1.8,-2.22,44.7
PJP,-0.54%,-2.22,-3.51,38.0
PFF,-0.54%,-0.85,-1.33,38.0
IBB,-0.66%,-2.32,-3.28,39.1
IXJ,-0.67%,-2.5,-3.62,34.9
VGK,-0.71%,-3.09,-4.9,34.1
IAK,-0.72%,-1.02,-0.99,46.4
SRVR,-0.74%,-2.29,-2.27,46.9
INDA,-0.75%,-2.14,-4.51,30.3
OZEM,-0.77%,-3.43,-7.12,29.2
FALN,-0.77%,-1.24,-1.85,25.0
XLV,-0.79%,-2.16,-2.71,37.9
WISE,-0.81%,1.03,0.43,45.9
XLC,-0.83%,-0.08,0.81,52.7
VHT,-0.85%,-2.17,-2.71,36.5
UFO,-0.87%,-1.2,-0.24,49.7
EWG,-0.87%,-3.71,-6.17,30.5
RWL,-0.89%,-1.44,-1.9,40.8
MOAT,-0.95%,-2.04,-2.64,35.9
DTCR,-0.96%,-1.74,-2.64,47.7
POWR,-0.96%,-1.79,-1.52,48.9
CAIE,-0.96%,-1.66,-2.7,32.4
CGW,-0.96%,-3.01,-4.26,33.9
FEZ,-0.97%,-3.92,-6.37,31.4
WOOD,-0.98%,-3.45,-6.67,32.9
EWC,-0.98%,-1.3,-0.79,48.9
EMXC,-0.98%,-4.21,-5.63,39.8
PNQI,-0.99%,0.68,1.61,46.5
IPAY,-1.01%,0.07,0.08,44.0
IVE,-1.02%,-1.54,-1.99,39.3
HRTS,-1.02%,-2.6,-3.58,34.2
INDS,-1.02%,-1.94,-1.88,45.4
HUMN,-1.03%,-3.86,-5.91,38.1
IDMO,-1.03%,-2.91,-4.15,38.3
XLRE,-1.04%,-1.24,-0.97,50.1
BOTT,-1.05%,-3.78,-6.86,42.1
NXTG,-1.07%,-2.55,-3.33,42.6
CUT,-1.07%,-3.28,-5.76,33.2
VNQ,-1.09%,-1.3,-1.01,49.0
BOAT,-1.10%,-1.6,2.01,60.9
MUSQ,-1.10%,-1.66,-2.77,38.9
AIQ,-1.11%,-1.07,-1.37,43.7
FINX,-1.14%,1.5,3.78,49.3
VOX,-1.14%,-0.48,0.11,47.3
SILJ,-1.16%,-5.94,-4.48,46.1
RSP,-1.19%,-1.83,-2.27,40.3
DXJ,-1.21%,-3.62,-5.24,39.4
XHS,-1.21%,-1.43,-1.31,43.4
FDN,-1.22%,0.94,2.12,49.8
PAWZ,-1.22%,-2.54,-3.03,37.0
PRNT,-1.22%,-1.95,-3.54,36.2
PSIL,-1.23%,-3.7,-3.81,41.2
XLI,-1.23%,-2.48,-2.89,44.1
ACES,-1.24%,-3.77,-7.87,34.1
EWT,-1.25%,-3.79,-4.75,42.0
QQQE,-1.27%,-1.01,-0.92,44.4
XLF,-1.29%,-1.55,-2.8,37.5
EWJ,-1.30%,-4.12,-6.7,36.5
BETZ,-1.33%,0.1,1.32,47.7
GRID,-1.33%,-3.3,-4.76,40.2
BOTZ,-1.34%,-3.72,-5.49,36.0
THRO,-1.40%,-1.56,-2.19,37.6
OIH,-1.40%,-2.84,-2.87,49.9
VFH,-1.41%,-1.76,-3.15,36.5
IFRA,-1.49%,-2.17,-2.43,45.6
QUAL,-1.50%,-1.83,-2.2,38.6
TAN,-1.50%,-4.14,-7.53,40.5
PHO,-1.52%,-3.03,-4.29,32.5
PSP,-1.56%,-2.71,-5.6,30.3
IVW,-1.58%,-1.37,-1.94,39.8
VIS,-1.62%,-2.92,-3.58,41.7
ARTY,-1.64%,-3.25,-5.25,39.9
HOMZ,-1.64%,-3.29,-5.86,31.1
EATZ,-1.68%,-1.71,-2.35,41.5
XLY,-1.81%,-1.26,-1.79,39.0
ARKQ,-1.81%,-2.64,-3.65,41.5
CWB,-1.83%,-2.33,-3.14,37.9
XRT,-1.84%,-2.99,-4.57,33.6
ROBO,-1.87%,-4.56,-6.14,35.4
PEJ,-1.87%,-1.95,-2.4,40.4
CARZ,-1.87%,-4.08,-5.7,37.8
XLB,-1.91%,-3.74,-5.16,37.6
IHI,-1.94%,-3.12,-3.52,31.1
QTUM,-1.97%,-3.66,-5.52,36.6
IWN,-2.02%,-2.93,-4.14,38.2
ICLN,-2.02%,-3.73,-6.12,38.8
EWW,-2.03%,-4.67,-7.18,37.9
XLK,-2.06%,-1.46,-2.15,42.2
VLUE,-2.08%,-2.68,-3.93,39.6
AI,-2.13%,-1.4,-8.58,39.7
ITB,-2.14%,-5.25,-9.13,29.7
SAMM,-2.22%,-3.56,-4.55,33.6
XHE,-2.22%,-3.77,-4.39,33.9
MTUM,-2.25%,-3.04,-4.21,37.0
IWM,-2.29%,-3.22,-4.42,36.6
SIMS,-2.39%,-3.63,-5.25,34.1
XME,-2.42%,-5.2,-7.14,36.8
NLR,-2.46%,-5.58,-6.73,40.6
IWO,-2.49%,-3.41,-4.59,36.0
XHB,-2.52%,-5.36,-9.02,30.8
