"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"Advertising Agencies (1 Stock)"
"APP","Communication Services","AppLovin","19.08;19.10;19.15;20.21;0.00","3.44;3.45;3.45;3.67;0.00","14.49;14.55;14.64;15.72;0.00","3.14;3.14;3.15;3.44;0.00","","6","1","1","1","9","5","1","7","Advertising Agencies","-23.9%","0.1%","17.5%","26.2%","-25.8%","-2.2%","74.6%","666.6%","3516.3%","- ","- "
"Summary"," "," "," "," "," "," "," ","6","1","1","1","9","5","1","7"," ","-23.9%","0.1%","17.5%","26.2%","-25.8%","-2.2%","74.6%","666.6%","3516.3%","0.0%","0.0%"
"Aerospace & Defense (13 Stocks)"
"AVAV","Industrials","AeroVironment","4.57;4.61;4.61;4.59;0.00","1.42;1.92;1.91;1.88;0.00","3.62;3.47;3.45;3.42;0.00","1.10;1.09;0.74;0.75;0.00","","8","10","7","7","7","7","2","2","Aerospace & Defense","-3.5%","5.5%","-6.9%","-7.9%","-15.8%","-2.9%","51.3%","-9.2%","89.2%","30.0%","476.2%"
"BA","Industrials","Boeing","5.94;5.81;5.11;4.78;0.00","0.39;0.46;0.12;-0.07;0.00","2.44;2.34;0.99;0.51;0.00","-0.01;0.06;-0.24;-0.35;0.00","","6","3","6","4","3","7","8","9","Aerospace & Defense","8.0%","5.4%","3.6%","-2.1%","16.1%","-3.9%","27.0%","-20.3%","-64.2%","-84.4%","-187.0%"
"RTX","Industrials","RTX","7.53;7.54;7.52;7.51;0.00","1.66;1.67;1.65;1.65;0.00","6.78;6.77;6.79;6.81;0.00","1.51;1.52;1.50;1.51;0.00","","4","1","4","4","5","4","2","6","Aerospace & Defense","16.3%","4.2%","5.5%","8.7%","24.6%","29.6%","47.4%","106.2%","51.8%","124.1%","60.0%"
"LMT","Industrials","Lockheed Martin","31.20;31.25;31.76;31.88;0.00","7.11;7.12;7.10;7.13;0.00","29.38;29.38;29.74;29.88;0.00","7.12;7.09;7.06;6.90;0.00","","2","1","3","1","3","2","4","8","Aerospace & Defense","41.2%","3.9%","4.6%","11.1%","51.0%","42.1%","30.7%","28.1%","-21.6%","37.9%","2.3%"
"NOC","Industrials","Northrop Grumman","31.37;31.38;30.58;30.04;0.00","7.06;7.05;7.00;6.84;0.00","28.92;28.84;27.94;27.74;0.00","6.43;6.37;6.33;6.05;0.00","","3","1","3","1","4","3","5","6","Aerospace & Defense","34.6%","3.5%","6.4%","9.8%","39.8%","26.6%","42.8%","34.2%","-4.2%","84.4%","66.6%"
"LHX","Industrials","L3Harris Technologies","14.25;14.24;13.98;13.57;0.00","2.99;2.99;2.84;2.85;0.00","12.42;12.42;11.97;11.68;0.00","2.69;2.68;2.56;2.57;0.00","","3","1","4","4","5","2","3","4","Aerospace & Defense","26.9%","3.5%","2.9%","8.0%","33.7%","31.0%","56.5%","42.2%","10.1%","29.7%","151.9%"
